Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0Os0RD1apkQsWOeF2cV5w2,"遲了悔改 - ViuTV電視劇《太平紋身店》主題曲","遲了悔改 (ViuTV電視劇《太平紋身店》主題曲)","Yan Ting",2021-01-19,264183,42,false,,2025-05-09T05:47:17Z,"cantopop","Universal Music Ltd.",0.486,0.528,9,-6.776,1,0.0276,0.364,0,0.146,0.519,135.831,4
spotify:track:5o1LqNdBoKJC0EoSU5sFKP,"grwm","grwm","moon tang;Marf 邱彥筒",2024-11-21,162621,26,false,,2025-05-09T05:47:17Z,"cantopop","WM Hong Kong",0.62,0.529,5,-6.543,1,0.0622,0.573,0,0.118,0.462,163.868,4
spotify:track:2HMgfqnkZEynYfW1B9viVe,"會再見的","會再見的","Jay Fung",2024-09-24,270550,42,false,,2025-05-09T05:47:17Z,"cantopop,c-pop","Media Asia Music Limited",0.401,0.348,3,-7.71,1,0.0324,0.641,0,0.113,0.267,134.85,4
spotify:track:2pzJnD7U4PsgoxekmC4FVG,"I tried…","I tried…","Nancy Kwai",2025-02-11,178078,45,false,,2025-05-22T13:52:38Z,"cantopop","WM Hong Kong",0.438,0.391,8,-11.026,0,0.0521,0.825,0.00000476,0.103,0.143,162.08,3
spotify:track:4xL01OuFjqizPDclF8gDpl,"隔離 - Studio Live Duet","隔離 (Studio Live Duet)","JACE;Terence Lam",2020-09-29,248382,44,false,,2025-05-09T05:47:17Z,"cantopop,c-pop","Universal Music Ltd.",0.687,0.352,10,-10.816,1,0.0575,0.859,0,0.136,0.488,123.102,4
spotify:track:0QA3wOHY0d8IYsevIrBrce,"好好掛住","好好掛住","陳健安",2023-06-13,291588,37,false,,2025-05-09T05:47:17Z,"cantopop","Media Asia Music Limited",0.477,0.352,7,-11.472,1,0.07,0.625,0.0000378,0.107,0.316,136.133,4
spotify:track:6HOzptW6b05V4AFp3nBOCf,"0.1秒後的世界","0.1秒後的世界","Panther Chan",2024-10-22,282000,41,false,,2025-05-09T05:47:17Z,"cantopop","WM Hong Kong",0.366,0.942,2,-3.987,1,0.0778,0.16,0,0.257,0.537,179.803,4
spotify:track:6vLeClPziJQ3Z0wifEzMYe,"山旮旯","山旮旯","Jay Fung",2019-05-22,267343,48,false,,2025-05-09T05:47:17Z,"cantopop,c-pop","Media Asia Music Limited",0.554,0.486,3,-7.034,1,0.0319,0.794,0,0.118,0.231,140.005,4
spotify:track:7LJbnO4dGlntR0BuzI7mTV,"解咒說明書","解咒說明書","麗英",2024-07-30,216434,42,false,,2025-05-09T05:47:17Z,"cantopop","Pomato Studio Ltd.",0.458,0.571,1,-5.77,1,0.035,0.492,0,0.195,0.444,160.006,4
spotify:track:6YI4OXOVtZ29Rc7GxOI4sY,"沒有無緣無故的恨","沒有無緣無故的恨","JACE",2021-08-20,225918,49,false,,2025-05-09T05:47:17Z,"cantopop,c-pop","Universal Music Ltd.",0.647,0.405,4,-9.208,1,0.0594,0.734,0,0.346,0.166,123.982,4
